player_id,gender,country,debut_year,birth_year,birth_month,played_youth
6701,Men,Spain,2010,1984,1,1
6702,Women,Spain,2010,1983,9,0
6717,Men,Spain,2017,1992,9,1
6723,Men,Spain,2015,1994,5,1
6733,Women,Spain,2015,1995,1,1
6739,Women,Spain,2014,1995,5,1
6749,Women,Sweden,2017,1993,9,1
6804,Women,Turkey,2018,1991,4,1
6810,Women,Turkey,2014,1994,4,1
6811,Women,Turkey,2014,1995,4,1
6815,Men,Turkey,2012,1991,1,1
6822,Men,Turkey,2017,1995,4,1
6838,Women,Ukraine,2015,1993,6,1
6906,Men,Belgium,2014,1991,2,1
6922,Women,Belgium,2015,1996,11,1
6924,Women,Belgium,2016,1996,7,1
6979,Men,Croatia,2017,1991,5,1
7079,Men,Great Britain,2017,1995,6,1
7159,Women,France,2015,1993,6,1
7171,Men,France,2017,1992,7,1
7210,Men,Germany,2014,1992,4,1
7214,Men,Germany,2017,1995,5,1
7219,Men,Germany,2014,1992,9,1
7221,Men,Germany,2014,1993,9,1
7239,Men,Great Britain,2011,1988,12,0
7249,Women,Greece,2017,1995,8,1
7254,Men,Greece,2017,1993,9,1
7289,Men,Hungary,2016,1995,7,1
7304,Men,Iceland,2013,1994,9,1
7344,Men,Israel,2017,1995,4,1
7357,Men,Italy,2011,1986,6,0
7359,Women,Italy,2017,1991,11,1
7365,Men,Italy,2014,1993,4,1
7390,Women,Italy,2019,1995,12,1
7393,Women,Italy,2017,1995,11,1
7397,Women,Italy,2014,1996,3,1
7405,Men,Latvia,2014,1995,6,1
7408,Men,Latvia,2017,1993,7,1
7427,Women,Latvia,2014,1996,4,1
7428,Women,Latvia,2013,1996,5,1
7431,Women,Latvia,2017,1997,3,1
7437,Men,Lithuania,2017,1992,10,1
7442,Men,Lithuania,2017,1992,8,1
7444,Men,Lithuania,2017,1993,6,1
7496,Women,Montenegro,2011,1982,4,1
7678,Men,Russia,2014,1991,6,1
7696,Women,Russia,2015,1996,4,1
7717,Men,Serbia,2017,1995,3,1
7779,Women,Slovenia,2013,1995,6,1
7781,Women,Slovenia,2017,1997,5,1
7788,Men,Spain,2015,1993,6,1
7796,Women,Spain,2015,1994,8,1
7799,Men,Spain,2014,1993,8,1
7843,Women,Sweden,2019,1996,4,1
7884,Men,Turkey,2018,1993,3,1
7892,Men,Turkey,2014,1995,4,1
7909,Men,Ukraine,2013,1992,6,1
7971,Women,Belarus,2016,1997,3,1
7974,Women,Belarus,2017,1997,10,1
8013,Women,Belgium,2016,1996,3,1
8018,Women,Belgium,2015,1997,3,1
8074,Men,Croatia,2017,1997,11,1
8180,Men,Great Britain,2017,1996,5,1
8234,Women,France,2019,1997,9,1
8239,Women,France,2018,1997,12,1
8299,Men,Germany,2016,1994,2,1
8316,Men,Germany,2016,1996,7,1
8337,Women,Greece,2015,1996,12,1
8342,Men,Greece,2017,1997,7,1
8353,Women,Greece,2015,1997,9,1
8375,Women,Hungary,2015,1994,8,1
8380,Women,Hungary,2015,1997,1,1
8383,Women,Hungary,2015,1996,8,1
8390,Men,Iceland,2014,1994,11,1
8420,Men,Israel,2015,1993,12,1
8454,Men,Italy,2017,1993,1,1
8489,Women,Latvia,2018,1998,9,1
8504,Men,Lithuania,2015,1996,5,1
8546,Men,Montenegro,2016,1996,9,1
8670,Men,Poland,2012,1986,12,0
8713,Men,Romania,2017,1997,7,1
8729,Men,Romania,2017,1997,1,1
8765,Women,Russia,2014,1996,3,1
8801,Women,Serbia,2016,1995,1,1
8847,Women,Slovakia,2017,1997,3,1
8865,Women,Slovenia,2017,1997,5,1
8970,Men,Turkey,2019,1996,9,1
8976,Women,Turkey,2012,1988,11,0
9002,Women,Ukraine,2017,1996,4,1
9009,Women,Ukraine,2019,1997,3,1
9010,Women,Ukraine,2016,1997,10,1
9089,Men,Belgium,2017,1995,10,1
9094,Men,Belgium,2016,1995,3,1
9316,Men,Finland,2017,1997,5,1
9320,Men,France,2017,1993,10,1
9326,Women,France,2017,1998,9,1
9343,Women,France,2013,1983,1,1
9346,Women,France,2015,1995,1,1
9399,Men,Great Britain,2013,1984,9,1
9426,Men,Greece,2014,1994,12,1
9431,Men,Hungary,2013,1993,5,1
9437,Women,Hungary,2018,1998,4,1
9439,Women,Hungary,2017,1998,9,1
9452,Men,Hungary,2013,1988,10,0
9516,Women,Italy,2019,1999,1,1
9539,Women,Latvia,2017,1997,7,1
9561,Men,Latvia,2017,1995,8,1
9638,Men,Montenegro,2013,1987,5,0
9707,Men,Poland,2016,1996,7,1
9786,Men,Romania,2017,1997,1,1
9801,Women,Russia,2015,1998,7,1
9805,Women,Russia,2015,1998,3,1
9815,Men,Russia,2019,1997,7,1
9822,Women,Russia,2013,1988,1,0
9851,Men,Serbia,2016,1995,2,1
9914,Women,Slovenia,2017,1999,10,1
9916,Women,Slovenia,2017,1999,2,1
9923,Men,Slovenia,2016,1997,4,1
9931,Women,Slovenia,2016,1997,7,1
9938,Women,Spain,2017,1997,1,1
9962,Men,Spain,2017,1995,9,1
10028,Men,Turkey,2015,1997,7,1
10035,Women,Turkey,2017,1999,2,1
10036,Women,Turkey,2017,1999,11,1
10121,Women,Belarus,2014,1983,6,1
10236,Women,Czech Republic,2019,1994,6,1
10253,Men,Czech Republic,2014,1989,8,0
10346,Men,Finland,2014,1990,10,0
10373,Men,France,2018,1995,9,1
10399,Men,France,2019,1998,7,1
10403,Women,France,2014,1989,12,0
10420,Men,Germany,2017,1998,5,1
10442,Men,Germany,2014,1992,1,0
10450,Women,Great Britain,2014,1992,9,0
10494,Women,Hungary,2018,1999,4,1
10496,Women,Hungary,2019,1999,4,1
10650,Women,Latvia,2019,1999,10,1
10664,Men,Latvia,2014,1992,12,0
10716,Women,Montenegro,2018,1996,10,1
10723,Women,Montenegro,2019,1997,6,1
10957,Men,Serbia,2014,1986,5,1
10958,Men,Serbia,2014,1990,11,0
10963,Women,Slovakia,2017,1999,7,1
10964,Women,Slovakia,2017,1999,1,1
10983,Women,Slovenia,2019,1999,7,1
11102,Men,Turkey,2019,1996,5,1
11237,Women,Belarus,2017,1999,2,1
11370,Women,Czech Republic,2017,1999,6,1
11371,Men,Czech Republic,2015,1983,12,0
11450,Men,Finland,2015,1984,2,0
11485,Men,Georgia,2017,1999,7,1
11521,Men,Germany,2015,1992,12,0
11526,Women,Great Britain,2015,1987,12,1
11585,Men,Iceland,2016,1997,10,1
11709,Men,Latvia,2015,1990,8,0
11732,Men,Lithuania,2015,1986,6,0
11768,Women,Montenegro,2015,1987,4,0
11855,Men,Poland,2015,1987,8,0
11921,Men,Russia,2015,1987,7,0
11961,Men,Serbia,2015,1990,5,0
12003,Men,Slovenia,2015,1984,1,1
12061,Women,Sweden,2016,1999,8,1
